,loanSequenceNumber,monthlyReportingPeriod,currentActualUPB,currentLoanDelinquencyStatus,loanAge,remainingMonthToLegalMaturity,repurchaseFlag,modificationFlag,zeroBalanceCode,zeroBalanceEffectiveDate,currentInterestRate,currentDeferredUPB,dueDateOfLastPaidInstallment,miRecoveries,netSalesProceeds,nonMiRecoveries,expenses,legalCosts,maintenanceAndPreservationCosts,taxesAndInsurance,miscellaneousExpenses,actualLossCalculation,modificationCost,stepModificationFlag,deferredPaymentModification,estimatedLoandToValue,yr,qr,defaulted,creditScore,firstPaymentDate,firstTimeHomeBuyerFlag,maturityDate,metropolitanDivisionOrMSA,mortgageInsurancePercentage,numberOfUnits,occupancyStatus,originalCombinedLoanToValue,originalDebtToIncomeRatio,originalUPB,originalLoanToValue,originalInterestRate,channel,prepaymentPenaltyMortgageFlag,productType,propertyState,propertyType,postalCode,loanSequenceNumber,loanPurpose,originalLoanTerm,numberOfBorrowers,sellerName,servicerName,superConformingFlag,preHarpLoanSequenceNumber,yr,qr
30,F108Q3000002,201009,277729.61,0,25,335,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
31,F108Q3000002,201010,277437.15,0,26,334,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
32,F108Q3000002,201011,277143.07,0,27,333,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
33,F108Q3000002,201012,276847.37,0,28,332,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
34,F108Q3000002,201101,276540.04,0,29,331,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
35,F108Q3000002,201102,276241.01,0,30,330,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
36,F108Q3000002,201103,275941.2,0,31,329,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
37,F108Q3000002,201104,275639.74,0,32,328,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
38,F108Q3000002,201105,275336.61,0,33,327,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
39,F108Q3000002,201106,275031.81,0,34,326,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
40,F108Q3000002,201107,274725.32,0,35,325,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
41,F108Q3000002,201108,274417.14,0,36,324,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
42,F108Q3000002,201109,274107.26,0,37,323,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
43,F108Q3000002,201110,273795.67,0,38,322,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
44,F108Q3000002,201111,273482.36,0,39,321,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
45,F108Q3000002,201112,273159.51,0,40,320,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
46,F108Q3000002,201201,272842.69,0,41,319,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
47,F108Q3000002,201202,272516.31,0,42,318,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
48,F108Q3000002,201203,272195.94,0,43,317,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
49,F108Q3000002,201204,271865.99,0,44,316,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
50,F108Q3000002,201205,271542.03,0,45,315,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
